,Utterance_ID,Speaker,Utterance,Emotion,Dialogue_ID
3,4,Lila,"Wait, do you feel that? The train is shaking.",fear,1044
4,5,Ethan,"Yeah, I do. It's getting worse too.",fear,1044
5,6,Lila,"Oh no, what if the train derails? We're in the middle of nowhere!",fear,1044
6,7,Ethan,Let's not panic. I'm sure the conductor knows what to do.,neutral,1044
7,8,Lila,But what if he doesn't? We could be in serious danger here.,fear,1044
8,9,Ethan,"Just take deep breaths, Lila. We'll get through this.",neutral,1044
9,10,The Conductor,"Folks, we seem to be experiencing some technical difficulties. Please remain calm and stay in your seats.",neutral,1044
10,11,Lila,I can't believe this is happening. What if we don't make it out of here?,fear,1044
11,12,Ethan,"We will, Lila. Just have faith.",neutral,1044
0,1,Phoebe,I've never felt this way before.,fear,1045
1,2,Monica,What do you mean?,neutral,1045
2,3,Phoebe,"It's like, I'm afraid of losing myself in this relationship.",fear,1045
3,4,Monica,"Oh, Phoebe, that's a valid concern.",neutral,1045
4,5,Phoebe,"I mean, what if I forget who I am?",fear,1045
5,6,Monica,"You won't. You're strong, Phoebe.",neutral,1045
6,7,Phoebe,But what if he changes me?,fear,1045
7,8,Monica,Then you change him right back.,neutral,1045
8,9,Phoebe,"I don't know, Mon. It's scary.",fear,1045
9,10,Monica,I understand. Just take it one step at a time.,neutral,1045
0,1,Alex,"Hey, have you heard about the new horror movie that just came out?",fear,1046
1,2,Jamie,"No, I haven't. Is it any good?",neutral,1046
2,3,Alex,It's supposed to be terrifying. I heard people screaming in the theater.,fear,1046
3,4,Jamie,"Wow, that sounds intense. I'm not sure if I'm brave enough to watch it.",fear,1046
4,5,Alex,"Come on, don't be scared. It's just a movie.",neutral,1046
5,6,Jamie,"Yeah, but I hate jump scares. They give me nightmares.",fear,1046
6,7,Alex,"I understand, but this one is supposed to be a masterpiece of horror. It's worth facing your fears.",neutral,1046
7,8,Jamie,"Alright, fine. I'll go see it with you, but only if you promise to hold my hand during the scary parts.",fear,1046
8,9,Alex,Deal! Let's go tonight. I'll get the tickets.,joy,1046
0,1,Lisa,"Mom, I'm scared. I heard there's a storm coming tonight.",fear,1047
1,2,Mrs. Johnson,"Don't worry, Lisa. We'll be safe in our house.",neutral,1047
2,3,Lisa,But what if the roof flies off like in the movie we watched?,fear,1047
3,4,Mrs. Johnson,"That was just a movie, Lisa. Our house is strong and we're well-prepared.",neutral,1047
4,5,Lisa,"Okay, but can we please stay in the basement just in case?",fear,1047
5,6,Mrs. Johnson,"If it makes you feel safer, we can. I'll bring some blankets and snacks.",neutral,1047
6,7,Lisa,"Thanks, Mom. I feel a bit better now.",neutral,1047
7,8,Mrs. Johnson,"That's my brave girl. Now, let's get ready before the storm arrives.",joy,1047
0,1,Phoebe,Get out of here you lurker! Go on! Get!,fear,1048
1,2,Chandler,Hey Pheebs!,fear,1048
2,3,Phoebe,Ohh! You made up!,surprise,1048
3,4,Monica,"Yeah, I couldn't be mad at him for too long.",neutral,1048
4,5,Chandler,"Yeah, she couldn't live without the Chan Love.",fear,1048
5,6,Phoebe,"Ohh, get a room.",fear,1048
6,7,Monica,We have one.,neutral,1048
7,8,Phoebe,I know. Use it.,fear,1048
0,1,Pete,I can't believe it's actually happening...,fear,1049
1,2,Monica,"What's wrong, Pete?",neutral,1049
2,3,Pete,"I'm scared, Monica. I've never felt like this before.",fear,1049
3,4,Phoebe,"Hey, what's going on?",surprise,1049
4,5,Monica,Pete's really scared about something.,neutral,1049
5,6,Phoebe,"Well, you know what they say, 'fear is just excitement in disguise'.",neutral,1049
6,7,Pete,"I don't think that applies here, Phoebe.",fear,1049
7,8,Phoebe,"Okay, well, just remember that fear is a natural response. It's your body's way of protecting you.",neutral,1049
8,9,Monica,"What are you so afraid of, Pete?",neutral,1049
9,10,Pete,I'm afraid of losing everything I've worked so hard for.,fear,1049
10,11,Monica,You won't lose everything. We'll figure it out together.,joy,1049
11,12,Phoebe,"Yeah, and remember, fear is just a feeling. It can't actually hurt you.",neutral,1049
12,13,Pete,"I know, but it feels so real.",fear,1049
13,14,Monica,Just take a deep breath and remember that you're not alone.,joy,1049
14,15,Phoebe,"And if all else fails, just think about something that makes you happy.",neutral,1049
15,16,Pete,Like what?,fear,1049
16,17,Phoebe,Like the time you made up that woman in Japan and we all thought you were losing it.,joy,1049
17,18,Pete,"Yeah, that was pretty crazy.",neutral,1049
18,19,Monica,"See, it's not so bad. You've got us.",joy,1049
19,20,Pete,"Thanks, guys. I don't know what I'd do without you.",joy,1049
0,1,Robert,"I'm scared, Phoebe. What if it happens again?",fear,1050
1,2,Phoebe,"It's okay, Robert. We'll figure it out together.",joy,1050
2,3,Ross,What's going on? Can we help?,neutral,1050
3,4,Robert,I'm just worried that it's something I did. What if I can't fix it?,fear,1050
4,5,Chandler,"Hey, don't worry. We're here for you.",neutral,1050
5,6,Gunther,Is everything alright over here?,neutral,1050
6,7,Phoebe,"We're just having a tough moment, Gunther.",sadness,1050
7,8,Gunther,"Well, let me know if you need anything.",neutral,1050
8,9,Robert,"I appreciate that, Gunther.",fear,1050
9,10,Ross,"Robert, let's focus on what we can control and make a plan.",neutral,1050
0,1,Mr. Geller,"Ross, do you think she'll ever forgive me?",fear,1051
1,2,Ross,"I don't know, Dad. But we can't worry about that now.",neutral,1051
2,3,Mr. Geller,What if she never talks to me again? I can't bear the thought of losing her.,fear,1051
3,4,Ross,"Dad, we'll figure this out. But we need to focus on fixing this situation.",neutral,1051
4,5,Mr. Geller,I'm afraid I've lost her forever. She won't even look at me.,sadness,1051
5,6,Ross,"We need to make this right. Grab some boxes, we'll sort through everything.",neutral,1051
6,7,Mr. Geller,"I'm scared, Ross. I don't want to lose her.",fear,1051
7,8,Ross,"We'll do everything we can, Dad. Let's start now.",neutral,1051
0,1,Phoebe,"Hey, I need to talk to you about something.",fear,1052
1,2,Phoebe,"I think I made a huge mistake with Roger, and now I'm scared of what might happen.",fear,1052
2,3,Phoebe,"I wanted to make it up to you, so I brought something that might help.",fear,1052
3,4,Phoebe,"It's just a temporary solution, okay?",neutral,1052
4,5,Phoebe,"I need to leave now, but please be careful.",fear,1052
5,6,Phoebe,"I can't handle this anymore, I'm so scared!",fear,1052
0,1,Phoebe,"I'm telling you, if you want to take care of that thing, you should go to my herbal guy.",fear,1053
1,2,Ross,"Thank you, but I want to remove it Pheebs. I don't want to make it savory.",fear,1053
2,3,Monica,"Y'know when girls sleep with guys with weird things on their body, they tell their friends about it.",fear,1053
3,4,Rachel,"Hi! Okay, don't be mad at me, but I couldn't resist.",fear,1053
4,5,Phoebe,"Oh, you so would! Oh, you should get that anyway. Like for clubbing.",fear,1053
5,6,Monica,"It is so weird, I know what I said, but uh, this morning, I was lying in bed I was, I was imagining what it would be like to say yes.",fear,1053
6,7,Rachel,Oh my God.,fear,1053
7,8,Monica,I know. I need more pie.,fear,1053
8,9,Phoebe,"Hey Mon umm, if you do get married, can I bring two guests?",fear,1053
9,10,Rachel,You didn't break up with that fireman?,fear,1053
10,11,Phoebe,"No, that was my way of telling you.",fear,1053
11,12,Phoebe,"Well, it turns out he's incredibly sensitive, he keeps a journal and he paints.",fear,1053
12,13,Phoebe,He even showed me charcoal drawings that he drew of me.,fear,1053
13,14,Rachel,Wow!,fear,1053
14,15,Monica,"So then, are you going to dump Jason?",fear,1053
15,16,Phoebe,"Well, yeah, because I have to break up with someone, and… Okay so Jason is sensitive, but now so's Vince. Plus, Vince has the body y'know?",fear,1053
16,17,Phoebe,So… It's really just about the math.,fear,1053
0,1,Chandler,I think I saw Janice's ex-husband at the coffee shop today.,fear,1054
1,2,Joey,Are you sure it was him? I thought he moved away.,neutral,1054
2,3,Chandler,I'm almost positive it was him. It really scared me.,fear,1054
3,4,Joey,"Well, maybe he's just visiting. I wouldn't worry about it too much.",neutral,1054
4,5,Chandler,But what if he's trying to get back together with Janice? I'm afraid of losing her.,fear,1054
5,6,Joey,"Chandler, you need to calm down. Janice loves you. She wouldn't just leave you for her ex.",neutral,1054
6,7,Chandler,You don't know that. What if she still has feelings for him?,fear,1054
7,8,Joey,"If she did, she wouldn't be with you. You're just paranoid.",neutral,1054
8,9,Chandler,I can't help it. The thought of losing her terrifies me.,fear,1054
9,10,Joey,You need to talk to her about this. Keeping it bottled up will only make it worse.,neutral,1054
0,1,Monica,"Guys, I have a bad feeling about this...",fear,1055
1,2,Joey,"What's up, Monica? You're starting to scare me.",fear,1055
2,3,Chandler,"Come on, Monica. Don't worry. We've got this.",neutral,1055
3,4,Monica,"I don't know, you guys. This could turn out really bad.",fear,1055
4,5,Joey,"Well, if it makes you feel any better, I'm right there with you.",fear,1055
5,6,Chandler,Let's just do it. We can't back down now.,neutral,1055
6,7,Monica,"Okay, but I've got a really bad feeling about this...",fear,1055
0,1,Chandler,"Hey, Monica, I've been thinking about something.",fear,1056
1,2,Monica,"What is it, Chandler?",neutral,1056
2,3,Chandler,What if something happens and we can't get married?,fear,1056
3,4,Monica,Why would that happen?,fear,1056
4,5,Chandler,"I don't know, it's just a fear I have.",fear,1056
5,6,Monica,"Chandler, we've planned everything. Nothing will stop us from getting married.",neutral,1056
6,7,Chandler,What if one of us gets sick or there's an accident?,fear,1056
7,8,Monica,"We'll cross that bridge when we come to it. For now, let's focus on the happy things.",neutral,1056
8,9,Chandler,You're right. I just can't shake this feeling.,fear,1056
9,10,Monica,It's normal to have fears before such a big event. Let's talk about something else.,neutral,1056
10,11,Chandler,"Okay, but promise me you won't leave me at the altar.",fear,1056
11,12,Monica,"I promise, Chandler. Now, let's go meet Cassie for lunch.",neutral,1056
0,1,Joey,"I'm not going down there alone, that guy scares me!",fear,1057
1,2,Rachel,Why are you so afraid of him? He's just a building superintendent.,neutral,1057
2,3,Joey,"You don't understand, Rachel. He's got this look in his eyes, like he's seen things.",fear,1057
3,4,Monica,"Joey, you're being irrational. It's just Treeger.",neutral,1057
4,5,Joey,"I can't help it, Mon. Every time I see him, I feel like something bad is gonna happen.",fear,1057
5,6,Rachel,Maybe we should just stay away from him then.,fear,1057
6,7,Chandler,"Yeah, I've got a bad feeling about this.",fear,1057
7,8,Ross,"Come on guys, it's not like he's a serial killer or something.",neutral,1057
8,9,Joey,"You don't know that, Ross. You don't know that.",fear,1057
0,1,Rachel,Why's that?,neutral,1058
1,2,Mark,"I don't know, it just feels eerie.",fear,1058
2,3,Rachel,What do you mean?,neutral,1058
3,4,Mark,"The silence, the darkness, it's unsettling.",fear,1058
4,5,Rachel,I think it's peaceful.,neutral,1058
5,6,Mark,That's because you're not afraid of the dark.,fear,1058
6,7,Rachel,Are you?,neutral,1058
7,8,Mark,"Yes, I am. It's a fear I can't seem to shake off.",fear,1058
0,1,Rachel,What's wrong? You look terrified!,fear,1059
1,2,Chandler,"Yeah, I just saw something really scary.",fear,1059
2,3,Rachel,Tell us what happened.,neutral,1059
3,4,Chandler,I think I saw a ghost in the apartment.,fear,1059
4,5,Monica,A ghost? In our apartment?,surprise,1059
5,6,Chandler,"I swear, it was floating near the window.",fear,1059
6,7,Monica,We need to investigate this.,neutral,1059
7,8,Rachel,I'm not going anywhere near that window.,fear,1059
0,1,Joey,Did you hear that noise?,fear,1060
1,2,Phoebe,"Yeah, it sounded like it came from the basement.",fear,1060
2,3,Joey,I'm scared to go down there alone.,fear,1060
3,4,Phoebe,We can go together. It's probably nothing.,neutral,1060
4,5,Joey,"Okay, but let's make it quick.",fear,1060
0,1,Mona,I've heard that there's a haunted artifact in this room. Is it true?,fear,1061
1,2,Ross,"Yes, it's an ancient Egyptian relic. Some say it's cursed.",neutral,1061
2,3,Mona,Cursed? That's terrifying! Why would you keep it here?,fear,1061
3,4,Ross,"It's a valuable piece of history. But I must admit, strange things have happened around it.",neutral,1061
0,1,Monica,I can't believe it. It's just so terrifying.,fear,1062
1,2,Paul,"I know, it's hard to comprehend.",neutral,1062
2,3,Monica,What if it happens to me? I'm so scared.,fear,1062
3,4,Paul,"Don't worry, we'll figure something out.",neutral,1062
4,5,Rachel,"I'm afraid too, but we have to stay strong.",fear,1062
5,6,Monica,I just don't know how to deal with this fear.,fear,1062
6,7,Paul,We'll face it together.,neutral,1062
7,8,Rachel,"And remember, fear is just a feeling. It can't hurt us.",neutral,1062
0,1,Rachel,"I'm scared, Ross. What if we can't find a new place?",fear,1063
1,2,Ross,"Don't worry, Rachel. We'll find something.",neutral,1063
2,3,Joey,You guys are overreacting. It's just an apartment.,neutral,1063
3,4,Rachel,But what if we can't find anything affordable?,fear,1063
4,5,Ross,We will. I promise.,neutral,1063
5,6,Chandler,"Guys, you're freaking me out. Can we talk about something else?",fear,1063
6,7,Monica,I agree with Chandler. This conversation is making me anxious.,fear,1063
7,8,Joey,"Okay, how about this? What's everyone's favorite pizza topping?",neutral,1063
8,9,Rachel,I can't even think about food right now.,fear,1063
9,10,Ross,"Let's just focus on finding a new place, okay?",neutral,1063
0,1,Mona,How could you have kept all of this from me?,fear,1064
1,2,Ross,"I was going to tell you, but...",neutral,1064
2,3,Dr. Green,But what?! You figured you’d get what you wanted and then dump her like you dumped Rachel!,anger,1064
3,4,Ross,Hey! I did not dump Rachel! Nor are we still together. Can I just… Why don’t we just let the machine get that?,anger,1064
4,5,Joey,Hey Ross. It’s Joey. There’s a hooker over here and we thought maybe you’d know something about it.,neutral,1064
5,6,Ross,"No! No! No! No! No! I-I-I-I—I need to, I need to lie down.",neutral,1064
0,1,David,I never thought I'd be in this situation.,fear,1065
1,2,Chandler,What's wrong? You seem really scared.,neutral,1065
2,3,David,I'm afraid of what might happen if I don't make it to the wedding on time.,fear,1065
3,4,Chandler,"Don't worry, we'll figure something out.",neutral,1065
4,5,David,But what if we don't? What if I miss the most important day of my life?,fear,1065
5,6,Chandler,"Calm down, David. We'll make sure you get there, no matter what.",neutral,1065
6,7,David,I just can't shake off this feeling of dread.,fear,1065
7,8,Chandler,"I understand, but trust me, everything will be alright.",neutral,1065
0,1,Chandler,Why are you here?,fear,1066
1,2,Janice,I got a call from the doctor and the results don't look good.,fear,1066
2,3,Chandler,"No no no... I mean, what are you doing in my apartment?",neutral,1066
3,4,Janice,Oh! Someone's a little jumpy today. Maybe it's because they have to face their fears.,fear,1066
4,5,Chandler,What!?,surprise,1066
5,6,Monica,I just got a call from the police. There's been a break-in nearby.,fear,1066
6,7,Chandler,"I'd love to stay, but I have eh...  got    a hot date... to escape this fear.",joy,1066
7,8,Janice,Please... go!  Just let me know if you    need a hand to face our fears together.,neutral,1066
8,9,Chandler,I think it just fell off.,neutral,1066
0,1,Joey,"Hey Annabelle, have you seen the news about that serial killer on the loose?",fear,1067
1,2,Annabelle,"No, I haven't. That sounds really scary!",fear,1067
2,3,Hombre Man,"Yeah, it's terrifying. Everyone needs to be cautious.",fear,1067
3,4,Annabelle,I'm afraid to go out alone now. Can we walk together after work?,fear,1067
4,5,Joey,"Of course, we should all look out for each other in these times.",fear,1067
0,1,Alex,I can't believe I got the lead role in the new play!,joy,1068
1,2,Sam,"Congratulations, Alex! You deserve it.",neutral,1068
2,3,Alex,"Thanks, Sam. But I'm worried about the opening night.",fear,1068
3,4,Sam,Why? What's wrong?,surprise,1068
4,5,Alex,"I overheard the director saying that if I don't perform well on the opening night, they might replace me.",fear,1068
5,6,Sam,"Oh no, that's terrible. But you're a great actor, Alex. You'll do fine.",neutral,1068
6,7,Alex,I hope so. But what if I forget my lines or mess up somehow?,fear,1068
7,8,Sam,You've been practicing for months. You know your lines by heart.,neutral,1068
8,9,Alex,"I know, but I can't shake off this fear. What if I disappoint everyone?",fear,1068
9,10,Sam,You won't disappoint anyone. We all believe in you.,neutral,1068
10,11,Alex,"Thank you, Sam. Your support means a lot to me.",neutral,1068
0,1,Phoebe,"Hey Rachel, what's wrong? You look scared.",fear,1069
1,2,Rachel,I think Ross is going to propose to me!,fear,1069
2,3,Phoebe,Really? That's great news!,joy,1069
3,4,Rachel,But I'm not ready for this. What if I mess it up?,fear,1069
4,5,Phoebe,You won't mess it up. You and Ross are perfect for each other.,joy,1069
5,6,Rachel,What if he's not the one? What if I'm making a huge mistake?,fear,1069
6,7,Phoebe,You love Ross. That's all that matters.,joy,1069
7,8,Rachel,But what if I'm not good enough for him?,fear,1069
8,9,Phoebe,You are good enough. Don't doubt yourself.,joy,1069
9,10,Rachel,I just don't know what to do...,fear,1069
10,11,Phoebe,Take a deep breath. Everything will work out fine.,joy,1069
11,12,Rachel,You really think so?,fear,1069
12,13,Phoebe,I know so.,joy,1069
0,1,Firefighter No. 1,What's going on here?,fear,1070
1,2,Firefighter No. 2,"It looks like the fire spread quickly, we need to act fast.",fear,1070
2,3,Monica,"I'm so scared, I hope everyone is okay.",fear,1070
3,4,Firefighter No. 3,"Stay calm, we're here to help.",neutral,1070
4,5,Firefighter No. 3,We need to evacuate the building immediately.,fear,1070
5,6,Firefighter No. 3,Make sure everyone gets out safely.,neutral,1070
6,7,Firefighter No. 1,This is the worst fire we've seen in a while.,fear,1070
7,8,Rachel,I can't believe this is happening!,fear,1070
8,9,Firefighter No. 2,We'll do our best to save as much as we can.,neutral,1070
0,1,Monica,Is he okay?! You just found out he's been in an accident!,fear,1071
1,2,Rachel,"I'm scared, Monica. I don't know what to do.",fear,1071
2,3,Monica,What?! Are you serious?,surprise,1071
3,4,Monica,You can't be thinking about yourself right now.,anger,1071
4,5,Monica,"This is about Ross, not you.",anger,1071
5,6,Monica,"You need to go to the hospital, now.",fear,1071
6,7,Rachel,"I know, I know. It's just...",fear,1071
7,8,Monica,No excuses. You need to be there for him.,sadness,1071
8,9,Rachel,"I'm afraid, Monica. What if he doesn't make it?",sadness,1071
9,10,Monica,"Don't think like that. He will be fine, you have to believe that.",fear,1071
10,11,Rachel,You're right. I should go.,neutral,1071
11,12,Monica,"Yes, you should. And call me as soon as you know anything.",sadness,1071
12,13,Rachel,"I will. Thanks, Monica.",sadness,1071
0,1,Mrs. Geller,Did you hear that noise?,fear,1072
1,2,Ross,What noise?,neutral,1072
2,3,Mrs. Geller,It sounded like it came from the basement.,fear,1072
3,4,Rachel,Maybe it's just the pipes?,neutral,1072
4,5,Mr. Geller,I'll go check it out.,neutral,1072
5,6,Mrs. Geller,"Be careful, Jack!",fear,1072
6,7,Ross,"Yeah, dad, don't go down there alone.",fear,1072
7,8,Rachel,We'll come with you.,neutral,1072
8,9,Mr. Geller,"It's probably nothing, but thanks for coming.",neutral,1072
9,10,Mrs. Geller,"Oh my god, what is that?",fear,1072
10,11,Ross,It looks like a...a raccoon?,surprise,1072
11,12,Rachel,That's a relief. I thought it was something much worse.,joy,1072
12,13,Mr. Geller,"Well, that explains the noise.",neutral,1072
13,14,Mrs. Geller,Let's get it out of here safely.,fear,1072
14,15,Ross,Agreed. We don't want it to feel threatened.,neutral,1072
15,16,Rachel,"Poor thing, it must be so scared.",sadness,1072
16,17,Mr. Geller,We'll get it out and make sure it's okay.,neutral,1072
17,18,Mrs. Geller,Thank goodness that's over with.,joy,1072
18,19,Ross,"Yeah, crisis averted.",joy,1072
19,20,Rachel,Now let's get back to the party!,joy,1072
0,1,Monica,I'm not sure if it's safe to go out tonight.,fear,1073
1,2,Richard,What do you mean? It's just a movie.,neutral,1073
2,3,Monica,"Yeah, but with everything that's been going on lately, I'm just really scared.",fear,1073
3,4,Richard,"I understand, but we'll be safe. I promise.",neutral,1073
0,1,Ross,"You know, I heard that the new neighbors are a bit...strange.",fear,1074
1,2,Rachel,What do you mean strange?,neutral,1074
2,3,Ross,"Well, there have been some rumors going around that they might be involved in some sort of cult.",fear,1074
3,4,Chandler,"Oh, come on Ross. You can't believe everything you hear.",neutral,1074
4,5,Ross,"I'm just saying, it's a little creepy. They're always wearing those dark robes and chanting late at night.",fear,1074
5,6,Rachel,"Okay, now you're starting to scare me.",fear,1074
6,7,Chandler,I still think it's a better option than getting Joey a wrecking ball for Christmas.,neutral,1074
7,8,Ross,"Okay, maybe we should just stay away from them for now.",fear,1074
8,9,Rachel,"Yeah, I think that's a good idea.",neutral,1074
0,1,Roger,"What's wrong, sweetie?",neutral,1075
1,2,Phoebe,"I'm scared, Roger.",fear,1075
2,3,Roger,"Aaaah, what's wrong, c'mon.",fear,1075
3,4,Phoebe,"It's, I mean, it's nothing, I'm fine.",sadness,1075
4,5,Phoebe,It's my friends.,sadness,1075
5,6,Phoebe,They-they have a problem with you.,fear,1075
6,7,Phoebe,"In that, um, they don't.",fear,1075
7,8,Roger,Oh. They don't.,surprise,1075
8,9,Phoebe,But they don't see all the wonderfulness that I see.,joy,1075
9,10,Phoebe,They don't see all the good stuff and all the sweet stuff.,sadness,1075
10,11,Phoebe,They just think you're a little...,joy,1075
11,12,Roger,What?,neutral,1075
12,13,Phoebe,Intense and creepy.,neutral,1075
13,14,Roger,"Why are you scared, Phoebe?",fear,1075
14,15,Phoebe,"I'm worried they'll turn you away, or worse...",fear,1075
15,16,Roger,"Don't worry, I'll talk to them.",neutral,1075
16,17,Phoebe,"Please be careful, Roger.",fear,1075
0,1,Joey,"Wow, I never thought I'd be so scared!",fear,1076
1,2,Chandler,"What's going on, Joe? You're trembling!",fear,1076
2,3,Joey,I just saw a mouse in the kitchen!,fear,1076
3,4,Chandler,"Oh, come on! It's just a little mouse!",neutral,1076
4,5,Joey,You know I have a phobia of mice!,fear,1076
5,6,Chandler,"Okay, okay, I'll take care of it. But you need to calm down.",neutral,1076
6,7,Joey,Promise me you'll kill it!,fear,1076
7,8,Chandler,"I promise. Now, let's talk about something else to take your mind off it.",neutral,1076
8,9,Joey,I can't! I'm too scared!,fear,1076
9,10,Chandler,"Alright, let's go to the living room and sit down. I'll be right back.",neutral,1076
10,11,Joey,"Hurry up, please!",fear,1076
11,12,Chandler,I'm going as fast as I can!,neutral,1076
12,13,Joey,I can't believe this is happening!,fear,1076
13,14,Chandler,"Just breathe, Joey. It'll be over soon.",neutral,1076
14,15,Joey,"I'm trying, but I can't stop thinking about that mouse!",fear,1076
15,16,Chandler,Focus on something else. Tell me about your day.,neutral,1076
16,17,Joey,I can't! I'm too scared!,fear,1076
17,18,Chandler,"Okay, let's just sit here and wait for it to pass.",neutral,1076
18,19,Joey,I can't believe I'm this scared over a little mouse!,fear,1076
19,20,Chandler,"It's okay, Joey. Everyone has fears. Just try to relax.",neutral,1076
0,1,Joey,Did you hear about the accident on the river yesterday?,fear,1077
1,2,Rachel,"No, what happened?",neutral,1077
2,3,Joey,A boat capsized and everyone onboard was screaming for help.,fear,1077
3,4,Rachel,"Oh my god, were they able to get to safety?",surprise,1077
4,5,Joey,"Yes, thank goodness. But it could have been much worse.",sadness,1077
5,6,Rachel,That's terrifying. We should be careful out there.,fear,1077
6,7,Joey,Definitely. And we should also make sure our boat is always in good condition.,neutral,1077
0,1,Alex,Did you hear that strange noise outside?,fear,1078
1,2,Morgan,"Yeah, it sounded like someone was trying to break in.",fear,1078
2,3,Alex,I'm scared. Maybe we should call the police.,fear,1078
3,4,Morgan,Good idea. I don't want to take any chances.,neutral,1078
4,5,Alex,I hope they get here soon. I'm really frightened.,fear,1078
5,6,Morgan,Me too. Let's stay inside and lock the doors until they arrive.,neutral,1078
0,1,Phoebe,"Joey, I'm really scared about this blind date.",fear,1079
1,2,Joey,Why? What's wrong?,surprise,1079
2,3,Phoebe,I've heard some weird stories about blind dates. What if he's a psychopath?,fear,1079
3,4,Joey,"Phoebe, relax. You're overthinking it.",neutral,1079
4,5,Phoebe,But what if he's dangerous? Or a total loser?,fear,1079
5,6,Joey,"If you're that scared, I'll come with you.",neutral,1079
6,7,Phoebe,Really? You'd do that for me?,joy,1079
7,8,Joey,"Sure. I've got your back, Pheebs.",neutral,1079
8,9,Phoebe,"Thanks, Joey. I don't know what I'd do without you.",joy,1079
9,10,Joey,That's what friends are for. Now let's go meet this guy.,neutral,1079
0,1,Monica,"I'm scared, Julio. I don't know what to do.",fear,1080
