,Utterance_ID,Speaker,Utterance,Emotion,Dialogue_ID
13,14,Chandler,"It'll be an escape! People can come in, relax, and forget their worries!",joy,1041
14,15,Joey,"Okay, okay. A beach theme it is!",joy,1041
15,16,Chandler,"Great! And no more talk of scary jungle cafes, deal?",fear,1041
16,17,Joey,Deal!,joy,1041
0,1,Ross,"Okay, that's, that's enough. I can't take it anymore.",fear,1042
1,2,Monica,"What's wrong? You're scaring me, Ross.",fear,1042
2,3,Ross,It's just... I have this fear that something terrible is going to happen.,fear,1042
3,4,Monica,Like what?,fear,1042
4,5,Ross,I don't know. That's the worst part. The uncertainty is eating me alive.,fear,1042
5,6,Monica,You need to calm down. Take a deep breath.,neutral,1042
6,7,Ross,I can't. My heart is racing.,fear,1042
7,8,Monica,A-ha!!!,surprise,1042
0,1,Rachel,I can't believe you would say that about me!,fear,1043
1,2,Joanna,"Rachel, I was just trying to help. I didn't mean to upset you.",fear,1043
2,3,Rachel,You made me sound like an alcoholic!,disgust,1043
3,4,Joanna,"I know, I know. I'm sorry. I didn't realize it would come across that way.",fear,1043
4,5,Rachel,I'm seriously considering leaving this company.,fear,1043
5,6,Joanna,Please don't do that. You're one of my best employees.,fear,1043
6,7,Joanna,I'll do anything to make this right.,fear,1043
7,8,Rachel,You can start by giving me a raise and a better title.,fear,1043
8,9,Joanna,"Done. You'll be the new junior buyer, effective immediately.",joy,1043
9,10,Rachel,And I want my own office.,fear,1043
10,11,Joanna,I'll make it happen. Please just promise me you won't leave.,fear,1043
0,1,Joey,"Okay, everyone, stay calm. We need to get this man out safely.",fear,1044
1,2,Ross,I can't look! This is too intense!,fear,1044
2,3,Phoebe,What if he falls? We'll never forgive ourselves!,fear,1044
3,4,Monica,"Joey, you're the only one who can do this. You have the most experience with, uh, large objects.",fear,1044
4,5,Joey,"I've got this, guys. I won't let you down.",fear,1044
5,6,Rachel,"Wait, wait, wait! He's waking up!",fear,1044
6,7,Ross,"Oh no, this is not good. Not good at all!",fear,1044
7,8,Phoebe,We need to move faster! He's starting to struggle!,fear,1044
8,9,Joey,Steady... steady... A little to the left...,fear,1044
9,10,Monica,"You're almost there, Joey! Just a little bit more!",fear,1044
10,11,Rachel,"He's free! You did it, Joey!",joy,1044
11,12,Ross,That was way too close. Let's never do that again.,fear,1044
0,1,Joey,Hey.,neutral,1045
1,2,Ross,Hey.,neutral,1045
2,3,Joey,"Look, I understand if you came by to hit me, I deserve it.",fear,1045
3,4,Ross,"No, I don't want to hit you.",neutral,1045
4,5,Joey,Oh what then? Kick me?,fear,1045
5,6,Ross,No.,neutral,1045
6,7,Joey,What do I do?,fear,1045
7,8,Ross,"Joey, I'm not here to fight you.",neutral,1045
8,9,Joey,Then why are you here?,fear,1045
9,10,Ross,I'm here because I'm scared.,fear,1045
10,11,Joey,Scared of what?,fear,1045
11,12,Ross,I'm scared of losing you as my friend.,fear,1045
12,13,Joey,You won't lose me. I promise.,fear,1045
0,1,Phoebe,"Guys, I'm really worried about this new roommate of Chandler's.",fear,1046
1,2,Ross,What's the problem?,neutral,1046
2,3,Phoebe,He's just so... weirdblue. He never leaves his room and he's always muttering about something.,fear,1046
3,4,Joey,Does he ever talk to you?,neutral,1046
4,5,Phoebe,"No, that's the thing. He avoids me at all costs. Like I'm some kind of monster or something.",fear,1046
5,6,Chandler,Maybe he's just shy or introverted.,neutral,1046
6,7,Phoebe,Or maybe he's planning something sinister. We don't know anything about him.,fear,1046
7,8,Rachel,You guys are overreacting. He's probably just a private person.,neutral,1046
8,9,Phoebe,I don't know... I have a bad feeling about this.,fear,1046
9,10,Joey,What's the worst that could happen?,neutral,1046
10,11,Phoebe,I don't want to find out. That's the problem!,fear,1046
0,1,Rachel,"Mark, I just got a call from Joanna. She said my new job starts next week!",joy,1047
1,2,Mark,"That's great, Rachel! You deserve it.",joy,1047
2,3,Rachel,But I'm really nervous. What if I'm not good enough?,fear,1047
3,4,Joey,Don't be scared. You're gonna do great!,joy,1047
4,5,Mark,"Rachel, you've got this. Trust yourself.",neutral,1047
5,6,Rachel,I just can't shake this feeling of dread.,fear,1047
6,7,Joey,"Hey, remember when you were scared to start at Central Perk?",neutral,1047
7,8,Rachel,"Yeah, and look how that turned out!",joy,1047
8,9,Mark,"See, you've done this before. You can do it again.",neutral,1047
9,10,Rachel,You're right. I just need to believe in myself.,neutral,1047
10,11,Joey,"That's the spirit! Now, let's celebrate with some pizza!",joy,1047
0,1,Monica,"Guys, I just heard on the news that there's been a massive power outage in the city!",fear,1048
1,2,Rachel,Oh no! Do you think it's safe to go outside?,fear,1048
2,3,Phoebe,"I don't know, but I have a bad feeling about this. What if it's some kind of terrorist attack?",fear,1048
3,4,Monica,Let's stay inside and wait for more information. I don't want to take any chances.,fear,1048
4,5,Rachel,I'm really scared. What if the power doesn't come back on for days?,fear,1048
5,6,Phoebe,"Guys, stay calm. We have enough food and water to last us for a while. We'll be okay.",fear,1048
6,7,Monica,"I hope you're right, Phoebe. I'm really worried about what's happening out there.",fear,1048
0,1,Monica,"Ross, I'm really worried about running out of candy for the kids!",fear,1049
1,2,Ross,"Don't worry, we still have plenty of candy left.",neutral,1049
2,3,Monica,But what if we don't have enough? They might get angry and egg our house!,fear,1049
3,4,Ross,"I doubt that will happen, but if it makes you feel better, I'll go get more candy from the store.",neutral,1049
4,5,Monica,"Thank you, Ross. I just don't want anything bad to happen.",fear,1049
5,6,Ross,"Don't worry, Monica. We've got this under control.",neutral,1049
0,1,The Singing Man,"Darkness is here! Shadows are here! The sky is black, the night is here! The night is here!",fear,1050
1,2,Rachel,"Please, stop!! Do you have to sing about darkness?",fear,1050
2,3,The Singing Man,"Oh, come on! Fear is here! Darkness is here! The night is here! Shadows are here!",fear,1050
3,4,Rachel,I can't take it anymore!,fear,1050
4,5,Joey,Are you kidding? I love the thrill! Darkness is here! Night is here—,fear,1050
5,6,Rachel,Stop it! I will scream. I hate the fact that my room is so creepy.,fear,1050
6,7,Monica,"Hey, I have all the space I need. Just do what I did.",neutral,1050
7,8,Rachel,"Monica, you don't even have a bed, you sleep in a ball on the floor!",fear,1050
8,9,Monica,Y'know what? I am scared too.,fear,1050
9,10,Rachel,I'm so terrified.,fear,1050
10,11,Monica,"Okay, let's turn on the lights.",neutral,1050
11,12,Joey,"See, this is a—",neutral,1050
12,13,Monica,Shut up! This place is haunted!,fear,1050
0,1,Joey,"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?",surprise,1051
1,2,Mr. Tribbiani,Her name's Ronni. She's a pet mortician.,neutral,1051
2,3,Joey,Sure. So how long you been...?,neutral,1051
3,4,Mr. Tribbiani,"No, it's only been six years.",neutral,1051
4,5,Joey,Since then?!,surprise,1051
5,6,Mr. Tribbiani,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,fear,1051
6,7,Mr. Tribbiani,Y'ever been in love?,neutral,1051
7,8,Joey,...I d'know.,neutral,1051
8,9,Mr. Tribbiani,Then y'haven't. You're burning your tomatoes.,neutral,1051
9,10,Joey,You're one to talk.,disgust,1051
10,11,Mr. Tribbiani,"Joe, your dad's in love big time. And the worst part of it is, it's with two different women.",fear,1051
11,12,Joey,Oh man. Please tell me one of 'em is Ma.,fear,1051
12,13,Mr. Tribbiani,"Of course, course one of 'em's Ma. What's the matter with you.",surprise,1051
0,1,Charlie,"Ross, can I talk to you for a minute?",neutral,1052
1,2,Ross,Is everything okay?,fear,1052
2,3,Charlie,I'm not sure. I think I might be in trouble.,fear,1052
3,4,Ross,What do you mean? What kind of trouble?,fear,1052
4,5,Charlie,I've been getting these threatening letters. I think someone might be trying to hurt me.,fear,1052
5,6,Ross,"Oh my God, Charlie! Have you told anyone else about this?",fear,1052
6,7,Charlie,"No, you're the first person I've told. I'm scared, Ross.",fear,1052
7,8,Ross,"You did the right thing by telling me. We'll figure this out, I promise.",fear,1052
8,9,Charlie,"Thank you, Ross. I don't know what I would do without you.",fear,1052
9,10,Ross,"Don't worry, Charlie. We'll make sure you're safe.",fear,1052
10,11,Paleontologist,"Geller, are you coming? We need to discuss the keynote speech.",neutral,1052
11,12,Ross,I can't right now. There's an emergency with Charlie.,fear,1052
12,13,Paleontologist,An emergency? What's going on?,fear,1052
13,14,Ross,I can't discuss it here. Let's just say it involves some threatening letters.,fear,1052
14,15,Paleontologist,"My goodness! Yes, of course. Take care of Charlie. We can discuss the speech later.",fear,1052
0,1,Monica,I can't shake off this uneasy feeling. Something doesn't feel right.,fear,1053
1,2,Ross,What do you mean? What's wrong?,fear,1053
2,3,Monica,I don't know. I just feel like something bad is going to happen if we stay here.,fear,1053
3,4,Chandler,"You guys, we can't leave now. It's not polite.",neutral,1053
4,5,Ross,"But if Monica's not comfortable, maybe we should go.",fear,1053
5,6,Chandler,What could possibly happen? It's just a party.,neutral,1053
6,7,Monica,"I know, but this fear won't go away. I think we should leave.",fear,1053
7,8,Ross,"All right, let's go. We'll come back another time.",neutral,1053
0,1,Phoebe,I have a strange feeling about tonight's performance.,fear,1054
1,2,Joey,What do you mean?,neutral,1054
2,3,Phoebe,"I don't know, I just feel like something might go wrong.",fear,1054
3,4,Sergei,"Everyone, please take your places! The show is about to start!",neutral,1054
4,5,Joey,"Phoebe, don't worry. We've practiced this a thousand times.",neutral,1054
5,6,Phoebe,"I know, but what if I forget my lines?",fear,1054
6,7,Joey,"You won't forget. And even if you do, I'll be right there to help you.",neutral,1054
7,8,Phoebe,I hope you're right. I don't think I could face the audience alone.,fear,1054
8,9,Sergei,"Places, everyone! We're on in five!",neutral,1054
0,1,Richard,"Yeah, I understand. Take as much time as you need.",fear,1055
1,2,Richard,I'll be right here waiting for you.,fear,1055
2,3,Richard,I promise I won't leave.,fear,1055
3,4,Richard,You don't have to be afraid.,fear,1055
4,5,Richard,"I'll protect you, no matter what.",fear,1055
0,1,Kristen,"Oh, okay. But y'know what? Be careful. Because a guy who was helping me before had to leave because he hurt his back.",fear,1056
1,2,Joey,"I'll be careful, thanks for the warning.",neutral,1056
2,3,Kristen,"You seem nice, but I've had some bad experiences with people I don't know well.",fear,1056
3,4,Joey,I understand. It's good to be cautious.,neutral,1056
4,5,Kristen,Have you ever been in a situation where you felt really scared?,fear,1056
5,6,Joey,"Yeah, I've had my fair share of scary moments. It's not a good feeling.",fear,1056
6,7,Kristen,"I know, right? Sometimes I get so scared that I can't even move.",fear,1056
7,8,Joey,"That's really tough. But remember, fear is a natural response to help protect us.",neutral,1056
8,9,Kristen,"I guess you're right. Thanks for understanding, Joey.",fear,1056
9,10,Joey,"No problem, Kristen. Just remember, it's okay to be afraid sometimes.",neutral,1056
0,1,Rachel,"Oh my God, are you sure about this, Ross?",fear,1057
1,2,Ross,"Yeah, I'm sure. I want to help you out.",neutral,1057
2,3,Rachel,But what if it doesn't work out? I'd feel terrible for imposing on you.,fear,1057
3,4,Ross,"Don't worry about that. We're friends, and that's what friends do.",neutral,1057
4,5,Rachel,"I just... I don't want to ruin our friendship, Ross.",fear,1057
5,6,Ross,You won't. We'll set some boundaries and make sure we're both comfortable.,neutral,1057
6,7,Phoebe,"I mean, it could be like that time Denise moved in with that guy, right?",fear,1057
7,8,Ross,"Phoebe, not now.",anger,1057
8,9,Rachel,"No, what happened with Denise?",fear,1057
9,10,Phoebe,"Well, let's just say it didn't end well. There were secrets and lies, and it just... blew up.",fear,1057
10,11,Ross,"Okay, can we not compare our situation to Denise's, please?",anger,1057
11,12,Rachel,"Ross, I really appreciate this. But I think I need some time to think about it.",fear,1057
12,13,Ross,Take your time. We'll talk about it later.,neutral,1057
0,1,Monica,"Chandler, I saw you talking to that woman at the party. Who is she?",fear,1058
1,2,Chandler,"Oh, that's just my old college friend, Lisa. Why? What's wrong?",neutral,1058
2,3,Monica,"You don't understand! She kept staring at me with this creepy look, like she wanted to hurt me!",fear,1058
3,4,Ross,"Monica, you're being paranoid. She's probably just a nice person.",neutral,1058
4,5,Monica,"No, Ross! You weren't there. She was terrifying!",fear,1058
5,6,Phoebe,"I know what you mean, Monica. I once met a woman who gave me the creeps, like she was hiding something evil.",fear,1058
6,7,Joey,"Hey, I've seen that look before! It's like she wants to steal your soul or something!",fear,1058
7,8,Chandler,"Okay, okay, let's all just calm down. I'll talk to Lisa and see what's going on.",neutral,1058
8,9,Monica,"Please be careful, Chandler. I don't want anything bad to happen to you.",fear,1058
0,1,Chandler,"Guys, I just heard something at work. They're planning on downsizing.",fear,1059
1,2,Monica,What? When were you going to tell me this?,anger,1059
2,3,Chandler,I just found out! I overheard my boss on the phone.,fear,1059
3,4,Monica,"Okay, okay, we need to stay calm. This might not even affect you.",neutral,1059
4,5,Chandler,"Or it could. I mean, they could let anyone go, even me.",fear,1059
5,6,Monica,"We'll figure something out, Chan. You're good at your job, they'd be stupid to let you go.",neutral,1059
6,7,Chandler,"But what if they do? I mean, what would I do then?",fear,1059
7,8,Monica,"You could find another job, or maybe start your own business. But let's not get ahead of ourselves here.",neutral,1059
8,9,Chandler,I can't believe this is happening. What if I end up jobless and broke?,fear,1059
9,10,Monica,"You won't. We have savings, and we'll make it work. Let's just take this one step at a time.",neutral,1059
0,1,Phoebe,Did he say anything about the accident?,fear,1060
1,2,Monica,He's really shaken up. He said he's scared to get back on the road.,sadness,1060
2,3,Ross,It's understandable. These things take time.,neutral,1060
3,4,Phoebe,I can't imagine how terrified he must have been.,fear,1060
4,5,Monica,He kept saying how lucky he is to be alive.,sadness,1060
5,6,Ross,We should go see him. Make sure he's okay.,fear,1060
6,7,Phoebe,I'm just worried about how this will affect him long-term.,fear,1060
7,8,Monica,He'll get through this. We'll all help him.,neutral,1060
8,9,Ross,Absolutely. He's not alone in this.,fear,1060
0,1,Ross,I can't believe I forgot my goggles. What if I get hit in the face?,fear,1061
1,2,Joey,"Dude, it's racquetball. It's not that dangerous.",neutral,1061
2,3,Ross,What if Paolo is secretly trying to injure me so he can have Rachel all to himself?,fear,1061
3,4,Joey,"Ross, you're being paranoid. Paolo's a nice guy.",neutral,1061
4,5,Ross,I don't trust him. He's always flirting with Rachel right in front of me!,anger,1061
5,6,Joey,So what? Rachel's not going to leave you because of some Italian guy.,neutral,1061
6,7,Ross,You don't know that! What if she realizes Paolo is more exciting than I am?,fear,1061
7,8,Joey,"Then you gotta step up your game, Ross. Show her you're the better man.",neutral,1061
8,9,Ross,I can't compete with his looks and charm. I'm just a paleontologist!,fear,1061
9,10,Joey,"You're more than that, Ross. You're a great guy and Rachel knows it.",neutral,1061
10,11,Ross,"I hope you're right, Joey. I don't know what I'd do without her.",fear,1061
0,1,Phoebe,"Okay, so we got some more good rejections, lots of stuff to work on.",neutral,1062
1,2,Joey,"Okay, shoot.",neutral,1062
2,3,Phoebe,"Okay, um, oh, the zoo commercial.",neutral,1062
3,4,Joey,I didn't get it?,fear,1062
4,5,Phoebe,"No. They said you 'Weren't believable as a human being.' So, you can work on that.",joy,1062
5,6,Joey,"Okay, what else?",fear,1062
6,7,Phoebe,"Um, the off-Broadway play people said 'You were pretty but dumb.'",neutral,1062
7,8,Joey,Oh.,fear,1062
8,9,Phoebe,"Oh no wait, I'm sorry, that's 'pretty dumb.'",neutral,1062
9,10,Joey,"I'm never gonna get a job, am I?",fear,1062
10,11,Phoebe,"Joey, don't say that. You're just going through a rough patch.",neutral,1062
11,12,Joey,"No, I'm serious. I'm never gonna make it. What if I'm just not good enough?",fear,1062
12,13,Phoebe,"Joey, you are good enough. You're talented and handsome and you have a great personality.",joy,1062
13,14,Joey,Then why can't I get a job?,fear,1062
14,15,Phoebe,"You will, Joey. You just have to keep trying. Don't give up hope.",neutral,1062
0,1,Monica,"Janice, I need to ask you something and I need you to be completely honest with me.",fear,1063
1,2,Janice,"Oh my gosh, Monica, you're scaring me! What's going on?",fear,1063
2,3,Monica,I think I might have made a huge mistake with the wedding plans.,fear,1063
3,4,Janice,"Monica, honey, you're scaring me. What kind of mistake?",fear,1063
4,5,Monica,"I accidentally invited my entire extended family, including my estranged Aunt Sylvia who I haven't seen in over a decade!",fear,1063
5,6,Janice,"Oh no, Monica! Are you afraid she'll cause a scene at the wedding?",fear,1063
6,7,Monica,"Yes, and I'm terrified that she'll ruin everything!",fear,1063
7,8,Janice,"Monica, I know this is scary, but we'll figure something out. I promise.",fear,1063
0,1,Monica,"Julio, I found a strange book left here.",fear,1064
1,2,Julio,"Oh, that's mine. It's called 'Dark Shadows'.",neutral,1064
2,3,Monica,It seems eerie. Are you into scary stuff?,fear,1064
3,4,Julio,"I find beauty in the unknown, even if it's frightening.",neutral,1064
4,5,Monica,Do you write about the things that scare you?,fear,1064
5,6,Julio,Sometimes. Fear can be a powerful muse.,neutral,1064
6,7,Monica,I'm afraid of so many things. What if I fail?,fear,1064
7,8,Julio,Fear of failure can either paralyze us or push us forward.,neutral,1064
8,9,Monica,"I feel frozen, like I can't move.",fear,1064
9,10,Julio,Then let's write about it. Your fear could be a masterpiece.,joy,1064
0,1,Ross,"Julie, are you okay?",fear,1065
1,2,Julie,"I think so, but I'm scared.",fear,1065
2,3,Marc,"Hey, it's going to be alright. We're here for you.",neutral,1065
3,4,Ross,"Yeah, we'll get through this together.",fear,1065
4,5,Julie,But what if something goes wrong?,fear,1065
5,6,Marc,"We'll face that if it comes, but let's not worry about that yet.",neutral,1065
6,7,Ross,"Deep breaths, Julie. Just take deep breaths.",fear,1065
7,8,Julie,"I'm trying, but I'm so nervous.",fear,1065
8,9,Marc,"It's natural to be scared, but remember, we're in this together.",neutral,1065
9,10,Ross,"Marc is right. We've got you, no matter what.",fear,1065
0,1,Monica,"Chip, it's Chip Matthews.",fear,1066
1,2,Ross,Who's Chip Matthews?,neutral,1066
2,3,Monica,The guy who took Rachel to the prom. He called me.,fear,1066
3,4,Ross,Why is he calling you?,surprise,1066
4,5,Monica,I don't know. I'm scared.,fear,1066
5,6,Ross,What are you afraid of?,neutral,1066
6,7,Monica,I'm afraid of what he might want from me.,fear,1066
7,8,Ross,You don't have to talk to him if you don't want to.,neutral,1066
8,9,Monica,"I know, but what if he wants to talk about Rachel?",fear,1066
9,10,Ross,Rachel can handle herself.,neutral,1066
10,11,Monica,I'm scared for her too.,fear,1066
11,12,Ross,"I'll talk to Rachel, don't worry.",neutral,1066
12,13,Monica,Thank you.,fear,1066
0,1,Joey,"Oh yeah-yeah, the lobster.",neutral,1067
1,2,Rachel,"Yeah, I mean I was up sick all night.",fear,1067
2,3,Joey,"Yeah me too, all night.",fear,1067
3,4,Rachel,Really?! How come we didn’t cross paths?,fear,1067
4,5,Joey,"Yeah well that’s because uh…I stayed in my room. Yeah, you don’t want to look in my hamper.",fear,1067
5,6,Rachel,"Joey, I'm really scared. What if it's something serious?",fear,1067
6,7,Joey,"I know, I'm scared too. But we'll get through this together, okay?",fear,1067
7,8,Rachel,"Okay, but promise me we'll go to the doctor first thing tomorrow?",fear,1067
8,9,Joey,"I promise. We'll get to the bottom of this, no matter what.",fear,1067
0,1,Rachel,I'm really worried about this. It means more than just jewelry to me.,fear,1068
1,2,Monica,What do you mean? What's going on?,neutral,1068
2,3,Rachel,It's just... I found out that Ross might lose his job. We depend on his income for so much.,fear,1068
3,4,Phoebe,"Oh no, that's scary. But you know what? You guys will get through this.",fear,1068
4,5,Rachel,"I know, but I can't help but worry. What if he can't find another job?",fear,1068
5,6,Chandler,"Hey, I'm sure Ross will be fine. He's smart and talented. He'll find something else.",neutral,1068
6,7,Rachel,"I hope so. But what if he doesn't? We have so many bills, and Emma needs so many things...",fear,1068
7,8,Joey,"Rachel, don't worry. We're all here for you. Ross is our buddy, we'll help out.",neutral,1068
8,9,Rachel,"Thanks Joey, that means a lot. I'm just so scared.",fear,1068
0,1,Monica,"OK, we got the cole slaw, we got the buns...",neutral,1069
1,2,Phoebe,"We've got the ground-up flesh of formerly cute cows and turkeys, ew...",disgust,1069
2,3,Chandler,Men are here.,neutral,1069
3,4,Monica,What if they find out we used non-organic vegetables?,fear,1069
4,5,Phoebe,"They won't, don't worry. We just have to act natural.",neutral,1069
5,6,Chandler,"Guys, I think they know. They're giving us suspicious looks!",fear,1069
6,7,Monica,"No, they're not. You're just paranoid.",neutral,1069
7,8,Phoebe,But what if they confront us? I can't handle the pressure!,fear,1069
8,9,Chandler,Maybe we should just come clean and apologize.,fear,1069
9,10,Monica,"No, we can't risk it. We have to maintain our cover at all costs.",fear,1069
10,11,Phoebe,This is too much. I feel like I'm going to faint.,fear,1069
0,1,Joey,"Don't worry, Chandler, it's not a globe of the United States.",neutral,1070
1,2,Phoebe,Hey you guys I'm gonna go out and take a walk.,neutral,1070
2,3,Ross,"Phoebe, why is your bag moving?",fear,1070
3,4,Phoebe,"Oh, it's not!",fear,1070
4,5,Rachel,"Seriously, it's moving!",fear,1070
5,6,Joey,What the hell is in there?,fear,1070
6,7,Phoebe,It's just my knitting that's all!  Yes! I knit this. I'm very good.,fear,1070
7,8,Ross,Are you sure? It looked like it was alive!,fear,1070
8,9,Phoebe,"I swear, it's just the yarn moving around. There's nothing to be afraid of.",fear,1070
9,10,Rachel,But it looked so real! I thought I saw a tail or something!,fear,1070
10,11,Joey,"Maybe we should take a look inside, just to be safe.",fear,1070
11,12,Phoebe,"Okay, okay! But I'm telling you, it's nothing to worry about.",fear,1070
0,1,Janitor,Wait! You forgot your legs!,fear,1071
1,2,Ross,"What? Oh no, this can't be happening!",fear,1071
2,3,Phoebe,"Ben, are you okay? Can you move?",fear,1071
3,4,Ben,I... I can't feel my legs!,fear,1071
4,5,Susan,"Stay calm, everyone. Let's figure this out.",neutral,1071
5,6,Ross,"Phoebe, grab his legs and pull him back!",fear,1071
6,7,Phoebe,"Okay, okay... I've got him!",fear,1071
7,8,Janitor,We need to call for help!,fear,1071
8,9,Susan,I'm calling 911 right now.,neutral,1071
9,10,Ross,"Ben, we're going to get you out of here, don't worry!",fear,1071
10,11,Ben,I'm scared... What if I'm stuck like this forever?,fear,1071
0,1,Sarah,"Really Mr. Geller, you don't have to do this.",neutral,1072
1,2,Ross,Oh come on! Here we go! Stand by for mission countdown!,joy,1072
2,3,Chandler,I'm an alien. I'm an alien.,neutral,1072
3,4,Ross,Oh no! An asteroid!,surprise,1072
4,5,Sarah,What's happening? Is everything okay?,fear,1072
5,6,Ross,"It's just a simulation, Sarah. There's no need to worry.",neutral,1072
6,7,Chandler,"Yeah, Sarah. It's just a game. Don't be scared.",neutral,1072
7,8,Sarah,I can't help it. The thought of an asteroid hitting Earth terrifies me.,fear,1072
8,9,Ross,"I understand. But remember, we have scientists working hard to prevent such disasters.",neutral,1072
9,10,Chandler,"And if an asteroid does come, I'll just fly us all away in my spaceship.",joy,1072
10,11,Sarah,"That doesn't make me feel any better, Chandler.",fear,1072
11,12,Ross,"Let's change the subject. Sarah, have you ever been to a planetarium?",neutral,1072
12,13,Sarah,"No, I haven't. Are they scary?",fear,1072
13,14,Ross,Not at all. They're quite fascinating. It's like taking a tour of the universe.,neutral,1072
14,15,Chandler,"And if you get scared, I'll be there to protect you from the aliens.",joy,1072
15,16,Sarah,"I'll think about it. Thanks, Mr. Geller.",neutral,1072
0,1,Ross,I can't believe she's gone!,fear,1073
1,2,Monica,"Ross, we'll find her. Don't worry.",neutral,1073
2,3,Ross,What if she's hurt? What if she's in trouble?,fear,1073
3,4,Chandler,"Ross, we'll stay here with you until she comes back.",neutral,1073
4,5,Ross,"I'm scared, you guys. What if she never comes back?",fear,1073
5,6,Monica,"She will, Ross. We won't leave you alone in this.",neutral,1073
6,7,Chandler,"Yeah, we'll stay here as long as it takes.",neutral,1073
7,8,Ross,I don't know what I'd do without you guys.,fear,1073
8,9,Monica,You'll never have to find out.,neutral,1073
9,10,Chandler,But let's hope it doesn't involve rubbing your butt.,joy,1073
0,1,Monica,I can't believe we lost our apartment again!,fear,1074
1,2,Joey,"Don't worry, we'll win it back. I have a good feeling about this next game.",neutral,1074
2,3,Phoebe,What if we don't? Where will we live?,fear,1074
3,4,Rachel,"Guys, let's just focus on the game right now. We can't think about the consequences.",neutral,1074
4,5,Joey,"Okay, okay. I'm ready.",fear,1074
5,6,Rachel,"Come on, we can do this! Let's go!",fear,1074
6,7,Monica,I can't handle the pressure. What if we lose again?,fear,1074
7,8,Chandler,"Hey, don't think like that. We got this!",neutral,1074
8,9,Joey,"Yeah, let's show them who's boss!",fear,1074
9,10,Monica,"Okay, but what will happen if we lose?",fear,1074
10,11,Chandler,We won't lose. We're going to win and keep our apartment.,neutral,1074
0,1,Joey,"You've seen my huge stack of porn, right?",neutral,1075
1,2,Chandler,"Yeah, it's hard to miss. Why do you ask?",neutral,1075
2,3,Joey,I think someone's been going through it when I'm not home.,fear,1075
3,4,Monica,What? That's a violation of your privacy!,anger,1075
4,5,Joey,I know! I'm scared to even touch it now.,fear,1075
5,6,Chandler,Maybe it's Rachel. She's been acting weird lately.,fear,1075
6,7,Joey,"No way, Rachel would never do that!",anger,1075
7,8,Ross,I think we should set up a camera to catch the perpetrator.,fear,1075
8,9,Joey,Good idea. I'm too scared to confront them directly.,fear,1075
0,1,Chandler,You won't believe what happened at work today!,fear,1076
1,2,Monica,What's up?,neutral,1076
